"Year","State.Code","State.Name","Total.Math","Total.Test-takers","Total.Verbal","Academic Subjects.Arts/Music.Average GPA","Academic Subjects.Arts/Music.Average Years","Academic Subjects.English.Average GPA","Academic Subjects.English.Average Years","Academic Subjects.Foreign Languages.Average GPA","Academic Subjects.Foreign Languages.Average Years","Academic Subjects.Mathematics.Average GPA","Academic Subjects.Mathematics.Average Years","Academic Subjects.Natural Sciences.Average GPA","Academic Subjects.Natural Sciences.Average Years","Academic Subjects.Social Sciences/History.Average GPA","Academic Subjects.Social Sciences/History.Average Years","Family Income.Between 20-40k.Math","Family Income.Between 20-40k.Test-takers","Family Income.Between 20-40k.Verbal","Family Income.Between 40-60k.Math","Family Income.Between 40-60k.Test-takers","Family Income.Between 40-60k.Verbal","Family Income.Between 60-80k.Math","Family Income.Between 60-80k.Test-takers","Family Income.Between 60-80k.Verbal","Family Income.Between 80-100k.Math","Family Income.Between 80-100k.Test-takers","Family Income.Between 80-100k.Verbal","Family Income.Less than 20k.Math","Family Income.Less than 20k.Test-takers","Family Income.Less than 20k.Verbal","Family Income.More than 100k.Math","Family Income.More than 100k.Test-takers","Family Income.More than 100k.Verbal","GPA.A minus.Math","GPA.A minus.Test-takers","GPA.A minus.Verbal","GPA.A plus.Math","GPA.A plus.Test-takers","GPA.A plus.Verbal","GPA.A.Math","GPA.A.Test-takers","GPA.A.Verbal","GPA.B.Math","GPA.B.Test-takers","GPA.B.Verbal","GPA.C.Math","GPA.C.Test-takers","GPA.C.Verbal","GPA.D or lower.Math","GPA.D or lower.Test-takers","GPA.D or lower.Verbal","GPA.No response.Math","GPA.No response.Test-takers","GPA.No response.Verbal","Gender.Female.Math","Gender.Female.Test-takers","Gender.Female.Verbal","Gender.Male.Math","Gender.Male.Test-takers","Gender.Male.Verbal","Score Ranges.Between 200 to 300.Math.Females","Score Ranges.Between 200 to 300.Math.Males","Score Ranges.Between 200 to 300.Math.Total","Score Ranges.Between 200 to 300.Verbal.Females","Score Ranges.Between 200 to 300.Verbal.Males","Score Ranges.Between 200 to 300.Verbal.Total","Score Ranges.Between 300 to 400.Math.Females","Score Ranges.Between 300 to 400.Math.Males","Score Ranges.Between 300 to 400.Math.Total","Score Ranges.Between 300 to 400.Verbal.Females","Score Ranges.Between 300 to 400.Verbal.Males","Score Ranges.Between 300 to 400.Verbal.Total","Score Ranges.Between 400 to 500.Math.Females","Score Ranges.Between 400 to 500.Math.Males","Score Ranges.Between 400 to 500.Math.Total","Score Ranges.Between 400 to 500.Verbal.Females","Score Ranges.Between 400 to 500.Verbal.Males","Score Ranges.Between 400 to 500.Verbal.Total","Score Ranges.Between 500 to 600.Math.Females","Score Ranges.Between 500 to 600.Math.Males","Score Ranges.Between 500 to 600.Math.Total","Score Ranges.Between 500 to 600.Verbal.Females","Score Ranges.Between 500 to 600.Verbal.Males","Score Ranges.Between 500 to 600.Verbal.Total","Score Ranges.Between 600 to 700.Math.Females","Score Ranges.Between 600 to 700.Math.Males","Score Ranges.Between 600 to 700.Math.Total","Score Ranges.Between 600 to 700.Verbal.Females","Score Ranges.Between 600 to 700.Verbal.Males","Score Ranges.Between 600 to 700.Verbal.Total","Score Ranges.Between 700 to 800.Math.Females","Score Ranges.Between 700 to 800.Math.Males","Score Ranges.Between 700 to 800.Math.Total","Score Ranges.Between 700 to 800.Verbal.Females","Score Ranges.Between 700 to 800.Verbal.Males","Score Ranges.Between 700 to 800.Verbal.Total"
"2015","AL","Alabama","541","2929","547","3.94","2.3","3.67","4.0","3.64","2.5","3.47","4.1","3.61","3.8","3.68","3.9","474","239","485","507","242","517","545","273","544","531","290","547","441","196","459","567","884","574","530","554","537","609","536","610","579","907","583","467","774","481","375","92","401","0","0","0","499","66","515","514","1676","535","569","1253","559","48","19","67","21","20","41","204","106","310","168","98","266","483","218","701","431","262","693","535","364","899","554","352","906","289","329","618","365","360","725","117","217","334","137","161","298"
"2015","AK","Alaska","505","3799","509","3.83","2.0","3.49","3.9","3.47","2.2","3.14","3.7","3.37","3.4","3.52","3.6","468","214","478","488","297","498","506","377","511","518","348","522","426","181","429","533","1050","537","520","690","520","600","278","599","548","812","552","475","1367","482","439","339","445","390","12","442","446","301","460","490","2162","507","521","1637","512","53","27","80","55","34","89","346","177","523","264","189","453","710","460","1170","679","500","1179","705","559","1264","703","555","1258","303","325","628","375","283","658","45","89","134","86","76","162"
"2015","AZ","Arizona","529","21545","523","3.87","2.3","3.52","3.9","3.51","2.5","3.29","4.0","3.42","3.4","3.54","3.3","494","2426","491","512","2295","510","524","2179","523","538","1869","534","469","1477","465","555","5211","547","540","4403","535","609","1709","598","571","5120","562","492","7856","490","449","1371","452","434","16","431","471","1070","494","510","12014","518","548","9531","529","118","65","183","115","106","221","1296","632","1928","1133","786","1919","4029","2238","6267","3935","2768","6703","4167","3407","7574","4211","3406","7617","1981","2427","4408","2084","1906","3990","423","762","1185","536","559","1095"
"2015","AR","Arkansas","572","1207","569","3.94","2.5","3.73","4.0","3.74","2.6","3.64","4.2","3.68","3.8","3.71","3.8","538","120","528","551","119","548","552","136","555","575","122","570","509","54","500","582","348","589","541","255","547","627","237","632","603","429","595","492","236","495","449","25","436","0","0","0","526","25","575","551","684","562","593","523","576","5","4","9","6","8","14","39","21","60","48","32","80","171","64","235","139","90","229","230","168","398","210","149","359","181","175","356","201","170","371","58","91","149","80","74","154"
"2015","CA","California","507","241553","496","3.79","1.9","3.42","3.9","3.42","2.8","3.1","3.8","3.29","3.3","3.42","3.3","472","31745","461","492","22351","484","509","17074","502","528","14263","521","445","27451","435","560","46127","549","545","45869","527","604","10398","590","583","42656","563","470","104693","465","413","21065","414","392","295","398","466","16577","480","488","133217","490","527","108336","502","4247","2296","6543","4007","3134","7141","24977","13184","38161","22544","16138","38682","43758","29254","73012","45918","34617","80535","34883","31130","66013","37455","31414","68869","18827","22050","40877","17931","17468","35399","6525","10422","16947","5362","5565","10927"
"2015","CO","Colorado","588","6485","582","3.92","2.5","3.69","4.0","3.65","3.3","3.49","4.1","3.61","3.9","3.69","3.8","554","308","547","560","418","552","570","514","575","584","600","586","525","160","519","598","2472","591","587","1419","579","644","813","636","622","2071","616","533","1754","533","483","177","489","486","5","562","541","246","557","570","3571","580","607","2914","585","15","8","23","8","12","20","127","66","193","98","71","169","629","331","960","586","453","1039","1336","825","2161","1338","1034","2372","1138","1109","2247","1124","937","2061","326","575","901","417","407","824"
"2015","CT","Connecticut","506","36445","504","3.75","2.3","3.33","3.9","3.25","3.1","3.16","3.9","3.25","3.7","3.35","3.7","459","2133","462","481","2229","485","499","2473","501","518","2408","514","417","1679","424","552","9471","545","564","6958","554","620","1042","614","594","4712","584","481","17305","482","401","3682","410","376","117","395","461","2629","459","492","18891","503","520","17554","505","922","778","1700","683","769","1452","3068","2281","5349","2507","2397","4904","5585","4294","9879","5769","4962","10731","5443","4955","10398","5938","5381","11319","3107","3703","6810","3170","3122","6292","766","1543","2309","824","923","1747"
"2015","DE","Delaware","462","9823","462","3.67","1.8","3.34","3.8","3.29","3.0","3.21","3.8","3.28","3.5","3.35","3.6","440","580","451","468","617","467","480","564","485","502","490","501","404","546","402","527","1523","528","508","1561","507","583","430","579","542","1651","538","435","4195","438","378","1336","383","366","45","364","385","605","408","453","5099","465","471","4724","460","316","240","556","264","322","586","1300","1118","2418","1077","1116","2193","1793","1542","3335","1882","1572","3454","1171","1028","2199","1226","1090","2316","424","613","1037","531","497","1028","95","183","278","119","127","246"
"2015","DC","District Of Columbia","440","4718","441","3.69","2.3","3.18","3.7","3.19","3.0","3.05","3.7","3.15","3.4","3.24","3.5","406","251","404","413","208","417","459","123","470","484","88","503","363","432","366","561","717","574","530","577","534","554","148","558","564","475","560","435","1844","439","352","915","353","347","56","343","376","703","392","427","2388","440","453","2330","443","411","401","812","356","422","778","715","609","1324","734","660","1394","575","454","1029","555","455","1010","343","330","673","303","312","615","228","324","552","282","286","568","116","212","328","158","195","353"
"2015","FL","Florida","481","122939","486","3.81","2.1","3.45","3.8","3.44","2.5","3.16","3.9","3.32","3.6","3.41","3.5","462","15548","473","483","11856","493","500","8970","509","512","7355","518","424","12610","434","533","18199","534","518","21815","521","576","6629","575","543","21446","545","455","52282","464","394","11318","406","372","391","374","414","9058","425","468","66340","486","494","56599","486","3110","2490","5600","2223","2595","4818","13482","9008","22490","10691","9559","20250","23430","17175","40605","22847","17857","40704","17939","16130","34069","20213","16600","36813","7165","9222","16387","8722","8206","16928","1214","2574","3788","1644","1782","3426"
